1	-0.319	0.958	0.529	A1
2	-0.188	0.943	0.704	A2
3	-0.581	0.755	0.507	A3
4	-0.352	0.816	0.798	A4
5	-0.507	0.674	0.813	A5
6	-0.158	0.757	0.991	A6
7	-0.737	0.486	0.291	A7
8	-0.721	0.519	0.512	A8
9	-0.648	0.531	0.745	A9
10	-0.493	0.562	0.945	A10
11	-0.257	0.602	1.082	A11
12	-0.780	0.362	0.371	A12
13	-0.748	0.395	0.618	A13
14	-0.621	0.438	0.893	A14
15	-0.447	0.447	1.067	A15
16	-0.149	0.483	1.197	A16
17	-0.793	0.226	0.172	A17
18	-0.809	0.246	0.497	A18
19	-0.742	0.265	0.783	A19
20	-0.575	0.300	1.034	A20
21	-0.306	0.296	1.223	A21
22	-0.833	0.107	0.321	A22
23	-0.810	0.133	0.660	A23
24	-0.700	0.151	0.942	A24
25	-0.492	0.159	1.170	A25
26	-0.168	0.146	1.326	A26
27	-0.843	-0.028	0.472	A27
28	-0.779	-0.017	0.848	A28
29	-0.615	-0.011	1.114	A29
30	-0.326	-0.026	1.312	A30
31	-0.816	-0.151	0.684	A31
32	-0.723	-0.155	0.993	A32
33	-0.483	-0.157	1.237	B1
34	-0.168	-0.179	1.378	B2
35	-0.795	-0.321	0.246	B3
36	-0.802	-0.306	0.536	B4
37	-0.754	-0.293	0.866	B5
38	-0.595	-0.300	1.140	B6
39	-0.324	-0.330	1.322	B7
40	0.017	-0.360	1.388	B8
41	-0.748	-0.422	0.721	B9
42	-0.650	-0.440	0.995	B10
43	-0.457	-0.464	1.205	B11
44	-0.150	-0.499	1.324	B12
45	-0.687	-0.574	0.283	B13
46	-0.698	-0.568	0.586	B14
47	-0.659	-0.555	0.841	B15
48	-0.515	-0.571	1.075	B16
49	-0.271	-0.623	1.215	B17
50	0.010	-0.635	1.257	B18
51	-0.617	-0.697	0.443	B19
52	-0.537	-0.681	0.910	B20
53	-0.168	-0.736	1.126	B21
54	-0.530	-0.772	0.641	B22
55	-0.360	-0.795	0.931	B23
56	-0.001	-0.836	1.002	B24
57	-0.531	-0.772	0.298	B25
58	-0.378	-0.906	0.491	B26
59	-0.291	-0.923	0.675	B27
60	-0.158	-0.902	0.848	B28
61	-0.292	-0.938	0.350	B29
62	-0.149	-0.976	0.518	B30
63	0.004	-0.965	0.674	B31
64	-0.012	-0.984	0.363	B32
65	0.002	1.049	0.533	C1
66	0.334	0.993	0.521	C2
67	0.191	0.968	0.691	C3
68	0.006	0.901	0.845	C4
69	0.390	0.843	0.793	C5
70	0.610	0.792	0.500	C6
71	0.221	0.762	0.984	C7
72	0.571	0.672	0.826	C8
73	0.002	0.652	1.106	C9
74	0.306	0.619	1.079	C10
75	0.554	0.552	0.968	C11
76	0.699	0.543	0.756	C12
77	0.758	0.537	0.502	C13
78	0.768	0.488	0.282	C14
79	0.188	0.481	1.200	C15
80	0.504	0.424	1.095	C16
81	0.690	0.415	0.908	C17
82	0.796	0.407	0.629	C18
83	0.816	0.362	0.362	C19
84	-0.011	0.311	1.296	C20
85	0.335	0.297	1.242	C21
86	0.624	0.273	1.070	C22
87	0.797	0.254	0.805	C23
88	0.852	0.245	0.473	C24
89	0.827	0.234	0.169	C25
90	0.188	0.135	1.337	C26
91	0.522	0.122	1.205	C27
92	0.751	0.115	0.985	C28
93	0.860	0.106	0.656	C29
94	0.859	0.080	0.325	C30
95	0.013	-0.050	1.388	C31
96	0.367	-0.027	1.320	C32
97	0.666	-0.054	1.136	D1
98	0.825	-0.038	0.865	D2
99	0.868	-0.049	0.489	D3
100	0.200	-0.200	1.385	D4
101	0.529	-0.183	1.254	D5
102	0.748	-0.180	1.028	D6
103	0.845	-0.194	0.687	D7
104	0.362	-0.359	1.333	D8
105	0.618	-0.356	1.164	D9
106	0.779	-0.335	0.880	D10
107	0.817	-0.341	0.563	D11
108	0.802	-0.363	0.267	D12
109	0.183	-0.519	1.337	D13
110	0.498	-0.501	1.219	D14
111	0.668	-0.476	1.025	D15
112	0.758	-0.466	0.708	D16
113	0.282	-0.645	1.228	D17
114	0.524	-0.613	1.097	D18
115	0.655	-0.605	0.865	D19
116	0.700	-0.596	0.594	D20
117	0.686	-0.610	0.307	D21
118	0.172	-0.760	1.129	D22
119	0.536	-0.717	0.932	D23
120	0.618	-0.728	0.463	D24
121	0.340	-0.818	0.945	D25
122	0.530	-0.802	0.650	D26
123	0.508	-0.809	0.314	D27
124	0.159	-0.911	0.843	D28
125	0.286	-0.923	0.678	D29
126	0.369	-0.918	0.506	D30
127	0.143	-0.974	0.512	D31
128	0.249	-0.948	0.357	D32
